,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
474,N/A,N/A,vtr,N/A,N/A,N/A,N/A,N/A,114.05,50.54,6.77,2.34,13.40,25.98,2.32,1.5,10.01,22570000000.0,33770000000.000004,15.75,7.68,10.14,19.65,10.14,1880000000.0,1.5,453340000.0,1.32,23.70,5.90,51700000.0,0.15,11250000000.0,0.86,28.49,66.76,1.5,0.48,96.30,14660000.0,6.42,5.04,15700000.0,N/A
475,N/A,N/A,vz,N/A,N/A,N/A,N/A,N/A,547.18,11.55,1.59,11.26,13.63,25.07,8.60,1.5,32.34,207650000000.0,311800000000.0,12.80,3.66,2.37,6.35,2.37,79060000000.0,1.5,17970000000.0,4.41,2.20,0.60,5850000000.0,1.43,110000000000.0,0.71,4.57,50.94,1.5,0.01,64.50,37260000.0,2.76,0.91,40860000.0,N/A
476,N/A,N/A,wat,N/A,N/A,N/A,N/A,N/A,81.78,23.83,5.31,5.20,22.70,27.75,8.66,1.5,25.12,10910000000.0,10120000000.0,19.47,2.45,4.92,15.29,4.92,1200000000.0,1.5,467040000.0,5.66,2.10,3.20,2510000000.0,30.95,1720000000.0,6.32,25.97,134.76,1.5,4.35,94.80,2910000.0,5.35,4.31,2840000.0,N/A
477,N/A,N/A,wdc,N/A,N/A,N/A,N/A,N/A,22.93,10.01,0.67,0.88,6.53,10.19,5.37,1.5,54.88,8250000000.0,4430000000.0,6.48,0.90,0.35,1.99,0.35,4219999999.9999995,1.5,828000000.0,3.54,80.70,20.50,6030000000.0,25.89,2200000000.0,3.14,41.24,35.44,1.5,2.40,77.10,27780000.0,4.46,12.06,30190000.0,N/A
478,N/A,N/A,wec,N/A,N/A,N/A,N/A,N/A,113.06,22.43,2.82,2.15,11.74,21.87,4.16,1.5,22.93,18910000000.0,28880000000.0,19.26,3.03,4.29,13.49,4.29,1980000000.0,1.5,790700000.0,2.67,76.70,58.10,34700000.0,0.11,10000000000.0,0.85,27.94,59.91,1.5,0.14,62.90,8359999.999999999,4.67,2.65,8990000.0,N/A
479,N/A,N/A,wfc,N/A,N/A,N/A,N/A,N/A,N/A,11.85,2.97,1.42,26.81,42.51,1.28,1.5,16.45,244920000000.0,201910000000.0,10.94,1.25,2.40,N/A,2.40,N/A,1.5,21090000000.0,4.07,5.90,2.10,394240000000.0,77.65,350780000000.0,N/A,34.62,48.24,1.5,0.10,77.50,23670000.0,1.28,0.47,23110000.0,N/A
480,N/A,N/A,wfm,N/A,N/A,N/A,N/A,N/A,32.02,20.67,0.64,3.02,3.26,5.90,9.26,1.5,45.29,9840000000.0,10050000000.0,19.18,3.46,0.64,7.21,0.64,5420000000.0,1.5,509000000.0,1.47,10.10,1.30,848000000.0,2.61,1050000000.0,1.57,10.11,30.30,1.5,0.81,80.80,40020000.0,8.14,12.31,32170000.0,N/A
481,N/A,N/A,wgo,N/A,N/A,N/A,N/A,N/A,N/A,13.74,0.58,2.26,4.30,6.24,10.65,1.5,35.53,558000000.0,521130000.0,11.10,3.26,0.54,8.03,0.54,104880000.0,1.5,41130000.0,1.51,15.50,3.80,36870000.0,1.37,0.00,3.03,9.21,20.75,1.5,11.62,95.40,3240000.0,11.88,13.59,3550000.0,N/A
482,N/A,N/A,whr,N/A,N/A,N/A,N/A,N/A,87.94,17.99,0.63,2.74,3.59,6.86,4.56,1.5,263.79,12820000000.0,17129999999.999998,9.86,0.84,0.83,8.19,0.83,3690000000.0,1.5,742000000.0,9.38,21.50,4.70,699000000.0,9.20,5010000000.0,0.91,62.61,168.72,1.5,0.75,92.90,2970000.0,3.19,3.86,2990000.0,N/A
483,N/A,N/A,win,N/A,N/A,N/A,N/A,N/A,144.36,N/A,0.15,2.50,3.67,11.38,3.23,1.5,58.99,823450000.0,11370000000.0,N/A,0.01,1.99,5.74,1.99,2860000000.0,1.5,213100000.0,2.20,N/A,3.20,74600000.0,0.78,10620000000.0,0.82,3.51,8.55,1.5,0.92,67.80,22130000.0,11.14,25.77,22270000.0,N/A
