,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
199,N/A,N/A,nflx,N/A,N/A,N/A,N/A,N/A,102.37,303.03,5.25,16.22,1.77,3.60,1.57,1.5,16.78,37640000000.0,37940000000.0,83.70,14.47,5.30,118.65,5.30,2190000000.0,1.5,126600000.0,0.29,16.70,24.40,2069999999.9999998,4.84,2370000000.0,1.41,5.41,87.88,1.5,1.82,87.50,34520000.0,3.01,8.30,49700000.0,N/A
200,N/A,N/A,ni,N/A,N/A,N/A,N/A,N/A,181.15,39.03,1.82,1.99,4.67,18.80,2.35,1.5,13.29,7760000000.0,14750000000.0,20.97,1.76,3.48,11.46,3.48,3010000000.0,1.5,177100000.0,0.62,33.00,22.40,23700000.0,0.07,7010000000.0,0.56,12.05,24.12,1.5,0.59,80.80,9190000.0,4.00,2.87,8119999.999999999,N/A
201,N/A,N/A,nile,N/A,N/A,N/A,N/A,N/A,3.92,28.40,0.61,23.81,2.19,3.23,9.59,1.5,41.10,294400000.0,264700000.0,25.11,1.41,0.56,15.76,0.56,92350000.0,1.5,10430000.0,0.89,9.00,3.20,29750000.0,2.57,480.00,0.98,1.06,25.36,1.5,0.90,106.60,656.26,4.93,8.71,649.75,N/A
202,N/A,N/A,nke,N/A,N/A,N/A,N/A,N/A,17.15,26.53,3.06,7.94,11.84,14.04,13.49,1.5,18.70,96550000000.0,93550000000.0,23.30,1.88,2.93,18.18,2.93,14070000000.0,1.5,3780000000.0,2.16,20.10,7.70,5110000000.0,3.03,2109999999.9999998,3.06,7.30,57.31,1.5,0.20,83.90,43.00,1.32,1.34,43.00,N/A
203,N/A,N/A,nsc,N/A,N/A,N/A,N/A,N/A,80.00,15.94,2.52,2.13,15.76,29.56,5.75,1.5,34.61,25420000000.0,34610000000.0,13.78,1.36,3.34,8.51,3.34,6850000000.0,1.5,1630000000.0,5.39,24.80,5.70,589000000.0,1.99,9780000000.0,1.07,41.33,85.97,1.5,0.30,69.80,2080000.0,1.22,0.73,2430000.0,N/A
204,N/A,N/A,ntap,N/A,N/A,N/A,N/A,N/A,47.93,18.64,1.16,2.15,6.52,8.33,3.30,1.5,19.04,6740000000.0,3130000000.0,9.89,1.22,0.55,5.14,0.55,3830000000.0,1.5,371900000.0,1.24,13.60,10.60,5020000000.0,17.38,1490000000.0,2.45,10.68,23.04,1.5,0.08,97.20,17410000.0,6.64,7.49,16530000.000000002,N/A
205,N/A,N/A,nue,N/A,N/A,N/A,N/A,N/A,56.24,42.02,0.96,2.04,2.29,7.21,4.85,1.5,49.19,14960000000.0,17070000000.0,16.28,1.11,1.08,9.33,1.08,1580000000.0,1.5,359100000.0,1.12,4.40,15.50,2330000000.0,7.29,4370000000.0,3.88,23.26,47.06,1.5,4.02,74.60,8330000.0,3.22,2.63,7390000.0,N/A
206,N/A,N/A,nus,N/A,N/A,N/A,N/A,N/A,32.83,22.16,1.02,2.78,4.60,8.47,7.37,1.5,38.01,2140000000.0000002,2130000000.0,12.28,4.87,0.98,8.34,0.98,1760000000.0,1.5,100080000.0,1.72,90.90,13.20,265060000.0,4.74,263070000.0,1.66,14.31,38.18,1.5,2.26,78.90,8289999.999999999,7.23,17.54,10460000.0,N/A
207,N/A,N/A,nvda,N/A,N/A,N/A,N/A,N/A,32.00,37.94,3.85,4.29,12.26,18.92,8.13,1.5,9.23,22320000000.0,18600000000.0,25.30,1.12,3.71,16.25,3.71,2810000000.0,1.5,614000000.0,1.08,7.20,12.00,5040000000.0,9.29,1430000000.0,2.58,8.29,40.98,1.5,5.25,87.50,64840000.0,7.38,15.05,76180000.0,N/A
208,N/A,N/A,nwl,N/A,N/A,N/A,N/A,N/A,640.25,38.11,2.18,7.33,5.64,14.27,4.85,1.5,22.19,21690000000.0,15940000000.0,15.67,1.19,2.67,15.60,2.67,2300000000.0,1.5,242800000.0,1.25,25.10,4.00,8180000000.0,30.50,11390000000.0,4.78,6.62,47.49,1.5,0.56,92.60,56910000.0,8.13,20.44,50710000.0,N/A
209,N/A,N/A,oke,N/A,N/A,N/A,N/A,N/A,253.07,32.39,1.09,29.52,3.46,15.33,4.77,1.5,36.74,8620000000.0,17710000000.0,19.64,2.05,2.29,11.44,2.29,2120000000.0,1.5,274510000.0,1.27,37.20,1.70,137220000.0,0.65,9230000000.0,0.56,1.37,41.04,1.5,0.96,75.30,16520000.0,6.41,7.93,16739999.999999998,N/A
210,N/A,N/A,orcl,N/A,N/A,N/A,N/A,N/A,86.56,19.47,4.45,3.61,23.80,35.48,8.09,1.5,8.69,164380000000.0,153720000000.0,14.10,2.26,4.14,10.31,4.14,30690000000.0,1.5,8840000000.0,2.03,14.10,3.40,50770000000.0,12.23,40110000000.0,4.83,11.04,39.61,1.5,26.17,61.50,42040000.0,2.83,1.34,43600000.0,N/A
211,N/A,N/A,orly,N/A,N/A,N/A,N/A,N/A,97.22,26.62,3.13,13.22,11.93,19.62,14.09,1.5,82.56,24980000000.0,26080000000.0,21.10,1.56,3.20,14.41,3.20,4160000000.0,1.5,973730000.0,9.70,20.00,10.20,716010000.0,7.42,1890000000.0,1.12,20.06,258.22,1.5,2.73,91.90,5530000.0,9.16,5.84,5480000.0,N/A
212,N/A,N/A,pbi,N/A,N/A,N/A,N/A,N/A,725.61,9.21,0.97,28.39,10.91,17.29,6.30,1.5,17.88,3370000000.0,5680000000.0,8.35,2.52,1.61,7.23,1.61,2020000000.0,1.5,380220000.0,1.94,28.00,5.20,735130000.0,3.90,3040000000.0,1.13,0.64,17.86,1.5,0.28,90.10,11600000.0,8.70,7.92,11940000.0,N/A
213,N/A,N/A,pcg,N/A,N/A,N/A,N/A,N/A,103.03,30.50,1.74,1.77,5.62,8.77,1.48,1.5,34.65,29350000000.0,46580000000.0,16.08,2.64,2.76,11.20,2.76,4120000000.0,1.5,950000000.0,1.94,245.20,1.90,142000000.0,0.29,17380000000.0,0.94,33.52,59.17,1.5,0.10,79.90,5550000.0,2.27,2.41,4630000.0,N/A
214,N/A,N/A,pcln,N/A,N/A,N/A,N/A,N/A,70.96,25.17,6.68,7.03,27.20,35.35,11.97,1.5,189.23,63470000000.0,66510000000.00001,16.30,1.23,6.98,18.22,6.98,8590000000.0,1.5,2590000000.0,50.81,12.30,16.70,3380000000.0,68.15,6420000000.0,2.45,182.37,278.64,1.5,0.36,97.20,1190000.0,2.72,2.72,1270000.0,N/A
215,N/A,N/A,pdco,N/A,N/A,N/A,N/A,N/A,91.44,23.67,0.78,3.11,3.43,7.62,8.05,1.5,55.37,4310000000.0,5400000000.0,16.71,1.90,0.99,10.96,0.99,1240000000.0,1.5,216700000.0,1.89,3.20,46.10,97700000.0,1.02,1250000000.0,1.87,14.29,44.61,1.5,16.04,76.30,5650000.0,7.64,6.49,5800000.0,N/A
216,N/A,N/A,peg,N/A,N/A,N/A,N/A,N/A,76.97,14.89,2.37,1.76,15.80,27.58,4.61,1.5,19.61,23210000000.0,32939999999.999996,15.82,9.80,3.33,8.13,3.33,4179999999.9999995,1.5,1560000000.0,3.08,19.60,16.60,596000000.0,1.18,10250000000.0,1.11,26.37,45.87,1.5,0.14,68.50,11880000.0,4.47,2.35,12020000.0,N/A
217,N/A,N/A,pep,N/A,N/A,N/A,N/A,N/A,312.40,29.75,2.44,13.63,8.23,15.71,8.82,1.5,42.96,150480000000.0,173420000000.0,20.39,3.39,2.77,14.40,2.77,34670000000.0,1.5,5160000000.0,3.50,23.80,2.90,12140000000.0,8.41,35090000000.0,1.42,7.79,104.18,1.5,0.22,71.40,9510000.0,2.10,0.65,8550000.0,N/A
218,N/A,N/A,pfg,N/A,N/A,N/A,N/A,N/A,38.35,10.69,1.00,1.23,9.56,11.70,0.41,1.5,42.05,12140000000.0,11160000000.0,9.04,1.04,0.90,6.80,0.90,5270000000.0,1.5,1160000000.0,3.92,12.90,14.30,4960000000.0,17.11,3980000000.0,6.37,34.58,41.87,1.5,0.36,68.80,5590000.0,3.46,1.93,5370000.0,N/A
